image_path,label,type,file_name,split,annotator,annotated_at
data/cropped_fields/not/train_WhatsApp Image 2026-07-10 at 19-54-00_jpeg.rf.Mo1SYS4lmbhQecAJJ9cM_not.jpg,88,not,train_WhatsApp Image 2026-07-10 at 19-54-00_jpeg.rf.Mo1SYS4lmbhQecAJJ9cM_not.jpg,train,Aslı,2026-07-13 12:32:44
data/cropped_fields/ogrenci_numara/train_IMG_1524_jpg.rf.Td8pQUp6B5IcK1WyaYyI_ogrenci_numara.jpg,2837465910,ogrenci_numara,train_IMG_1524_jpg.rf.Td8pQUp6B5IcK1WyaYyI_ogrenci_numara.jpg,train,mehmet,2026-07-12 17:33:16
data/cropped_fields/not/train_IMG_1703_jpg.rf.LZOadkX5yh0U18aeO1hy_not.jpg,96,not,train_IMG_1703_jpg.rf.LZOadkX5yh0U18aeO1hy_not.jpg,train,Sevde,2026-07-13 13:13:36
data/cropped_fields/not/train_WhatsApp Image 2026-07-10 at 19-56-03 (2)_jpeg.rf.GQeVI4YOFYHXyHfs1hCu_not.jpg,66,not,train_WhatsApp Image 2026-07-10 at 19-56-03 (2)_jpeg.rf.GQeVI4YOFYHXyHfs1hCu_not.jpg,train,Aslı,2026-07-13 13:25:26
data/cropped_fields/ogrenci_numara/train_WhatsApp Image 2026-07-11 at 10-23-47 (4)_jpeg.rf.muFrXj7okAMMBH3iIwsv_ogrenci_numara.jpg,230610063,ogrenci_numara,train_WhatsApp Image 2026-07-11 at 10-23-47 (4)_jpeg.rf.muFrXj7okAMMBH3iIwsv_ogrenci_numara.jpg,train,Sevde,2026-07-13 13:10:36
data/cropped_fields/ogrenci_numara/train_20260712_201002_jpg.rf.YlRyVv87W2IiEpUKLswY_ogrenci_numara.jpg,3884900643,ogrenci_numara,train_20260712_201002_jpg.rf.YlRyVv87W2IiEpUKLswY_ogrenci_numara.jpg,train,Mehmet,2026-07-14 15:13:04
data/cropped_fields/ogrenci_numara/train_WhatsApp Image 2026-07-11 at 09-56-02 (1)_jpeg.rf.tHIbZzfHNJfQxlrtaFfg_ogrenci_numara.jpg,210610007,ogrenci_numara,train_WhatsApp Image 2026-07-11 at 09-56-02 (1)_jpeg.rf.tHIbZzfHNJfQxlrtaFfg_ogrenci_numara.jpg,train,Berke,2026-07-13 12:22:11
data/cropped_fields/not/train_WhatsApp Image 2026-07-12 at 00-32-38 (1)_jpeg.rf.S64cqNpIdJz3VRO1PxsG_not.jpg,24,not,train_WhatsApp Image 2026-07-12 at 00-32-38 (1)_jpeg.rf.S64cqNpIdJz3VRO1PxsG_not.jpg,train,Mehmet,2026-07-16 11:44:49
data/cropped_fields/ogrenci_numara/valid_WhatsApp Image 2026-07-12 at 00-32-14 (3)_jpeg.rf.14JhShWpDKnSdzvoHecI_ogrenci_numara.jpg,211450050,ogrenci_numara,valid_WhatsApp Image 2026-07-12 at 00-32-14 (3)_jpeg.rf.14JhShWpDKnSdzvoHecI_ogrenci_numara.jpg,valid,Sevde,2026-07-16 11:43:03
data/cropped_fields/ogrenci_numara/train_IMG_1672_jpg.rf.mxTGh9s3VHdM4hoRRu36_ogrenci_numara.jpg,7879220416,ogrenci_numara,train_IMG_1672_jpg.rf.mxTGh9s3VHdM4hoRRu36_ogrenci_numara.jpg,train,mehmet,2026-07-12 18:11:28
data/cropped_fields/not/train_WhatsApp Image 2026-07-12 at 00-32-14 (4)_jpeg.rf.ke0UJPmOVm2WP5NhyxSE_not.jpg,42,not,train_WhatsApp Image 2026-07-12 at 00-32-14 (4)_jpeg.rf.ke0UJPmOVm2WP5NhyxSE_not.jpg,train,Berke,2026-07-16 11:34:04
data/cropped_fields/not/valid_WhatsApp Image 2026-07-10 at 19-55-38 (3)_jpeg.rf.3AqSDjzXsDFLWOCu2l2o_not.jpg,40,not,valid_WhatsApp Image 2026-07-10 at 19-55-38 (3)_jpeg.rf.3AqSDjzXsDFLWOCu2l2o_not.jpg,valid,Aslı,2026-07-13 12:36:28
data/cropped_fields/not/train_20260712_201435_jpg.rf.clSiF9XHv832eFMoe7cX_not.jpg,65,not,train_20260712_201435_jpg.rf.clSiF9XHv832eFMoe7cX_not.jpg,train,Berke,2026-07-16 11:40:25
data/cropped_fields/not/train_20260711_174348_jpg.rf.b2smpAowYUi52yire1pT_not.jpg,56,not,train_20260711_174348_jpg.rf.b2smpAowYUi52yire1pT_not.jpg,train,Sevde,2026-07-16 11:49:42
